Year,Country of Origin Code,Country of Asylum Code,Country of Origin Name,Country of Asylum Name,Population Type,location,urbanRural,accommodationType,Female 0-4,Female 5-11,Female 12-17,Female 18-59,Female 60 or more,Female Unknown,Female Total,Male 0-4,Male 5-11,Male 12-17,Male 18-59,Male 60 or more,Male Unknown,Male Total,Total
2015,IRQ,TUR,Iraq,Türkiye,REF,Adana : Province,U,I,15,16,9,73,5,0,118,11,23,25,109,5,0,173,291
2015,IRQ,TUR,Iraq,Türkiye,REF,Adiyaman : Province,U,I,5,0,0,0,0,0,5,0,5,0,0,0,0,5,10
2015,IRQ,TUR,Iraq,Türkiye,REF,Afyonkarahisar : Province,U,I,60,117,74,315,23,0,589,63,111,77,396,23,0,670,1259
2015,IRQ,TUR,Iraq,Türkiye,REF,Aksaray : Province,U,I,17,37,37,142,16,0,249,19,42,33,141,10,0,245,494
2015,IRQ,TUR,Iraq,Türkiye,REF,Amasya : Province,U,I,27,67,34,163,16,0,307,28,53,44,177,14,0,316,623
2015,IRQ,TUR,Iraq,Türkiye,REF,Ankara : Province,U,I,12,16,11,82,13,0,134,8,18,19,125,16,0,186,320
2015,IRQ,TUR,Iraq,Türkiye,REF,Artvin : Province,V,U,0,0,0,0,0,0,0,0,0,0,7,0,0,7,7
2015,IRQ,TUR,Iraq,Türkiye,REF,Balikesir : Province,U,I,36,82,52,212,17,0,399,32,94,62,243,16,0,447,846
2015,IRQ,TUR,Iraq,Türkiye,REF,Batman : Province,U,I,0,0,6,0,0,0,6,0,0,0,0,0,0,0,6
2015,IRQ,TUR,Iraq,Türkiye,REF,Bayburt : Province,U,I,0,0,9,0,0,0,9,0,5,0,5,0,0,10,19
2015,IRQ,TUR,Iraq,Türkiye,REF,Bilecik : Province,U,I,33,55,33,178,24,0,323,32,64,29,206,19,0,350,673
2015,IRQ,TUR,Iraq,Türkiye,REF,Bolu : Province,U,I,73,119,81,386,17,0,676,89,144,98,496,19,0,846,1522
2015,IRQ,TUR,Iraq,Türkiye,REF,Burdur : Province,U,I,0,8,0,0,0,0,8,0,0,0,14,0,0,14,22
2015,IRQ,TUR,Iraq,Türkiye,REF,Bursa : Province,U,I,0,0,0,0,0,0,0,0,0,0,5,0,0,5,5
2015,IRQ,TUR,Iraq,Türkiye,REF,Canakkale : Province,U,I,0,5,0,9,0,0,14,0,0,5,10,0,0,15,29
2015,IRQ,TUR,Iraq,Türkiye,REF,Cankiri : Province,U,I,38,76,46,248,33,0,441,42,80,84,310,21,0,537,978
2015,IRQ,TUR,Iraq,Türkiye,REF,Corum : Province,U,I,56,98,60,249,20,0,483,50,112,89,311,21,0,583,1066
2015,IRQ,TUR,Iraq,Türkiye,REF,Denizli : Province,U,I,7,11,12,34,0,0,64,9,14,8,36,5,0,72,136
2015,IRQ,TUR,Iraq,Türkiye,REF,Dispersed in the country / territory,U,I,0,0,8,12,0,0,20,0,8,0,8,0,0,16,36
2015,IRQ,TUR,Iraq,Türkiye,REF,Diyarbakir : Province,V,U,0,0,5,0,5,0,10,0,0,0,6,0,0,6,16
2015,IRQ,TUR,Iraq,Türkiye,REF,Duzce : Province,U,I,48,68,46,213,17,0,392,34,78,51,302,17,0,482,874
2015,IRQ,TUR,Iraq,Türkiye,REF,Elazig : Province,V,U,0,0,5,11,0,0,16,0,0,6,15,0,0,21,37
2015,IRQ,TUR,Iraq,Türkiye,REF,Erzincan : Province,U,I,0,0,0,0,0,0,0,0,0,0,5,0,0,5,5
2015,IRQ,TUR,Iraq,Türkiye,REF,Erzurum : Province,U,I,0,6,0,0,0,0,6,0,0,0,0,0,0,0,6
2015,IRQ,TUR,Iraq,Türkiye,REF,Eskisehir : Province,U,I,65,104,59,304,18,0,550,71,119,78,374,24,0,666,1216
2015,IRQ,TUR,Iraq,Türkiye,REF,Gaziantep : Province,U,I,5,18,15,33,5,0,76,8,14,19,77,5,0,123,199
2015,IRQ,TUR,Iraq,Türkiye,REF,Giresun : Province,V,U,0,0,6,16,0,0,22,0,6,5,24,0,0,35,57
2015,IRQ,TUR,Iraq,Türkiye,REF,Gumushane : Province,U,I,0,0,0,8,0,0,8,0,0,0,8,0,0,8,16
2015,IRQ,TUR,Iraq,Türkiye,REF,Hatay : Province,U,I,0,0,8,0,0,0,8,0,0,0,6,0,0,6,14
2015,IRQ,TUR,Iraq,Türkiye,REF,Isparta : Province,U,I,0,13,6,21,5,0,45,0,13,11,22,5,0,51,96
2015,IRQ,TUR,Iraq,Türkiye,REF,Istanbul : Province,U,I,43,106,69,486,33,0,737,52,141,84,773,35,0,1085,1822
2015,IRQ,TUR,Iraq,Türkiye,REF,Izmir : Province,U,I,0,6,8,18,0,0,32,0,5,5,17,0,0,27,59
2015,IRQ,TUR,Iraq,Türkiye,REF,Kahramanmaras : Province,U,I,0,0,0,5,0,0,5,7,0,0,0,0,0,7,12
2015,IRQ,TUR,Iraq,Türkiye,REF,Karabuk : Province,V,U,28,64,29,146,10,0,277,30,61,38,240,9,0,378,655
2015,IRQ,TUR,Iraq,Türkiye,REF,Karaman : Province,U,I,12,0,5,30,0,0,47,12,6,0,40,5,0,63,110
2015,IRQ,TUR,Iraq,Türkiye,REF,Kars : Province,U,I,0,5,0,0,0,0,5,0,0,0,0,0,0,0,5
2015,IRQ,TUR,Iraq,Türkiye,REF,Kastamonu : Province,U,I,33,41,17,125,11,0,227,27,35,31,159,13,0,265,492
2015,IRQ,TUR,Iraq,Türkiye,REF,Kayseri : Province,U,I,39,68,50,181,13,0,351,30,80,50,268,7,0,435,786
2015,IRQ,TUR,Iraq,Türkiye,REF,Kirikkale : Province,U,I,19,42,18,107,5,0,191,19,31,25,108,5,0,188,379
2015,IRQ,TUR,Iraq,Türkiye,REF,Kirsehir : Province,U,I,14,48,31,130,36,0,259,26,46,40,196,23,0,331,590
2015,IRQ,TUR,Iraq,Türkiye,REF,Kocaeli : Province,V,U,0,0,0,5,0,0,5,0,0,0,0,0,0,0,5
